numero;nome_urna;estado_uf;partido;federacao;cargo;situacao
12244;SONIC MOTOBOY;DF;PDT;Nenhuma;Deputado Distrital;Deferido
90321;ALINE DE OLIVEIRA;DF;PROS;Nenhuma;Deputado Distrital;Deferido
90199;PASTOR ROBERTO;DF;PROS;Nenhuma;Deputado Distrital;Deferido
35777;RONY BARBOSA;DF;PMB;Nenhuma;Deputado Distrital;Deferido
35707;RIBAMAR MOREIRA;DF;PMB;Nenhuma;Deputado Distrital;Deferido
35193;WILKERSON FERREIRA;DF;PMB;Nenhuma;Deputado Distrital;Deferido
35999;SGT SIMÕES TOTÓ LEGAL;DF;PMB;Nenhuma;Deputado Distrital;Deferido
44122;LETÍCIA SAMPAIO;DF;UNIÃO;Nenhuma;Deputado Distrital;Deferido
51515;GREGORY BRITO;DF;PATRIOTA;Nenhuma;Deputado Distrital;Deferido
51221;DR ROGÉRIO SOLON;DF;PATRIOTA;Nenhuma;Deputado Distrital;Deferido
51123;PADRE KATÊ;DF;PATRIOTA;Nenhuma;Deputado Distrital;Deferido
51017;ELIETE AMARAL;DF;PATRIOTA;Nenhuma;Deputado Distrital;Deferido
51777;PROFESSOR IVAN MORAES;DF;PATRIOTA;Nenhuma;Deputado Distrital;Deferido
51007;SALVE JORGE;DF;PATRIOTA;Nenhuma;Deputado Distrital;Deferido
23333;PROFESSORA DEUSINHA;DF;CIDADANIA;Federação PSDB Cidadania;Deputado Distrital;Deferido
23455;PAULA BELMONTE;DF;CIDADANIA;Federação PSDB Cidadania;Deputado Distrital;Deferido
45222;MAX JAPÃO;DF;PSDB;Federação PSDB Cidadania;Deputado Distrital;Deferido
70100;MARCOS MAURÍCIO;DF;AVANTE;Nenhuma;Deputado Distrital;Deferido
70369;MC BANDIDA VALÉRIA SANTANA;DF;AVANTE;Nenhuma;Deputado Distrital;Deferido
10011;ÁLVARO CASTRO;DF;REPUBLICANOS;Nenhuma;Deputado Distrital;Deferido
22077;DRA MIRANDA FERREIRA;DF;PL;Nenhuma;Deputado Distrital;Deferido
22111;SARGENTO SANSÃO;DF;PL;Nenhuma;Deputado Distrital;Deferido
22333;OSCAR REIS;DF;PL;Nenhuma;Deputado Distrital;Deferido
22357;ANDREA QUADROS;DF;PL;Nenhuma;Deputado Distrital;Deferido
10190;MAJOR MICHELLO;DF;REPUBLICANOS;Nenhuma;Deputado Distrital;Deferido
10444;ALEX RIBEIRO;DF;REPUBLICANOS;Nenhuma;Deputado Distrital;Deferido
10123;MARTINS MACHADO;DF;REPUBLICANOS;Nenhuma;Deputado Distrital;Deferido
22050;MÔNICA ALMEIDA;DF;PL;Nenhuma;Deputado Distrital;Deferido
22633;GERALDO NASCIMENTO;DF;PL;Nenhuma;Deputado Distrital;Deferido
40107;DRA JÔ;DF;PSB;Nenhuma;Deputado Distrital;Deferido
40234;JOÃO PAULO FALANDO;DF;PSB;Nenhuma;Deputado Distrital;Deferido
40777;NAYERI ALBUQUERQUE;DF;PSB;Nenhuma;Deputado Distrital;Deferido
20221;DR. AUGUSTO JUNCAL - GUTE;DF;PSC;Nenhuma;Deputado Distrital;Deferido
